timestamp,iface,can_id,dlc,data,priority,pdu_format,pdu_specific,pdu_type,pgn,pgn_label,destination,source,label,rule_name,rule_type,semantics,rule_severity,rule_layer,rule_description,context_pgn,context_value
0.069953,can0,285057792,8,FFFF31FFFFFFFFFF,4,253,163,PDU2,64931,Electronic Engine Controller 6,,0,normal,,,,,,,,
0.070748,can0,418381865,8,F07D7DF329FFFF36,6,240,0,PDU2,61440,Electronic Retarder Controller 1,,41,normal,,,,,,,,
0.073991,can0,418382129,8,FFFFFF3F00FFFFFF,6,240,1,PDU2,61441,Electronic Brake Controller 1,,49,normal,,,,,,,,
0.074002,can0,419361073,8,F3FFFFC3CCFFFFF0,6,254,241,PDU2,65265,Cruise Control/Vehicle Speed 1,,49,normal,,,,,,,,
0.074507,can0,419360817,8,FFFFFFFFFFFCCCFF,6,254,240,PDU2,65264,Power Takeoff Information 1,,49,normal,,,,,,,,
0.075137,can0,419356416,8,8AA0287D7DFFFFF5,6,254,223,PDU2,65247,Electronic Engine Controller 3,,0,normal,,,,,,,,
0.075704,can0,419383345,8,0000FFFF00000000,6,255,72,PDU2,65352,Proprietary B,,49,normal,,,,,,,,
0.076401,can0,419361329,8,FFFFFFFFFFFFFFFF,6,254,242,PDU2,65266,Fuel Economy (Liquid),,49,normal,,,,,,,,
0.076852,can0,217056049,8,FFFFFFFFFFFFFFFF,3,240,3,PDU2,61443,Electronic Engine Controller 2,,49,normal,,,,,,,,
0.079207,can0,217055747,8,C11C12FFF7CF2003,3,240,2,PDU2,61442,Electronic Transmission Controller 1,,3,normal,,,,,,,,
0.079405,can0,201392901,8,FFFFFFFFFFF3FFFF,3,1,3,PDU1,256,Transmission Control 1,3.0,5,normal,,,,,,,,
0.080038,can0,419351043,8,00FF00000000FFFF,6,254,202,PDU2,65226,Active Diagnostic Trouble Codes,,3,normal,,,,,,,,
0.08048,can0,419224576,8,9FFFFFFF50689414,6,252,220,PDU2,64732,Cruise Control / Vehicle Speed 3,,0,normal,,,,,,,,
0.081106,can0,217056000,8,D06927FFFF0F7B82,3,240,3,PDU2,61443,Electronic Engine Controller 2,,0,normal,,,,,,,,
0.081646,can0,486445568,8,FF5CBAFFFFFF4400,7,254,146,PDU2,65170,Engine Information 1,,0,normal,,,,,,,,
0.082177,can0,418382091,8,CFFFF0FFFFCDFFFF,6,240,1,PDU2,61441,Electronic Brake Controller 1,,11,normal,,,,,,,,
0.087,can0,217056256,8,019D9D302F000F9D,3,240,4,PDU2,61444,Electronic Engine Controller 1,,0,normal,,,,,,,,
0.088764,can0,217055747,8,C11C12FFF7CF2003,3,240,2,PDU2,61442,Electronic Transmission Controller 1,,3,normal,,,,,,,,
0.089418,can0,217058307,8,C504312FFFFFFFFF,3,240,12,PDU2,61452,Electronic Transmission Controller #8,,3,normal,,,,,,,,
0.089966,can0,217057792,8,F1043717FFFFFFFF,3,240,10,PDU2,61450,Engine Gas Flow Rate,,0,normal,,,,,,,,
0.090614,can0,419271680,8,960FFFFFFFFFFFFF,6,253,148,PDU2,64916,Electronic Engine Controller 7,,0,normal,,,,,,,,
0.091162,can0,419360512,8,FFFFFF469A7DFFFA,6,254,239,PDU2,65263,Engine Fluid Level/Pressure 1,,0,normal,,,,,,,,
0.091741,can0,418385408,8,C839FFFFD59FFFFF,6,240,14,PDU2,61454,Aftertreatment 1 Intake Gas 1,,0,normal,,,,,,,,
0.092319,can0,419348235,8,C0147D7D7F7FFFFF,6,254,191,PDU2,65215,Wheel Speed Information,,11,normal,,,,,,,,
0.095022,can0,418394880,8,FFFFFFFFFFFFFFFF,6,240,51,PDU2,61491,Aftertreatment 1 SCR Ammonia Information 2,,0,normal,,,,,,,,
